,symbol,period,pin,alpha,delta,mu,eps_b,eps_s
5995,MILS3,2023-05-31,0.1849294033452342,0.4333350945504098,0.0,1858.3849274283664,1578.000392748209,1971.349345949058
9134,DESK3,2023-05-31,0.1747921672860031,0.2500076225093237,0.2666560811141656,298.6760216527406,146.58335538914992,205.94575276814655
16690,SHOW3,2023-05-31,0.1888030121613418,0.3007812140809058,0.1687381409585523,267.5402792116038,141.55036036900367,204.19574328808795
22307,OPCT3,2023-05-31,0.2390102160883424,0.2500005459603429,0.3333319586715081,632.1014484232012,200.94594761763693,302.19551114054576
27413,KRSA3,2023-05-31,0.3238418352883618,0.3499898210096859,0.3333403042215681,260.32986704772287,81.79684608469105,108.44005147298762
28725,BRPR3,2023-05-31,0.2373045564803618,0.4667506725707465,0.0,318.9474954812449,176.98058621176222,301.48336600009094
45395,TFCO4,2023-05-31,0.2491927942182785,0.1500016714592492,0.2222227094604132,955.563279971594,176.12082623141976,255.74466547804505
46381,INEP3,2023-05-31,0.1730662450743001,0.2666667103472694,0.1250006028678058,312.838933082596,213.1901858806541,185.41959252728967
47675,RCSL3,2023-05-31,0.2547351794337664,0.4666695349237261,0.035714756397392,1400.6548442744927,859.3141156567492,1053.013396500864
49780,SHUL4,2023-05-31,0.2127434638050551,0.5161932485474278,0.1288979526301614,407.7426071779698,316.1943835838308,462.6639383326891
55695,MBLY3,2023-05-31,0.1717575797725344,0.2166658545578002,0.0769289365661139,918.9589026027822,431.61903296715946,528.5067267311254
58712,GFSA3,2023-05-31,0.1831691474751286,0.1499937341592674,0.2222175393758184,5795.60927389919,1583.8648252491091,2292.7444002100674
62611,OIBR3,2023-05-31,0.2481353188048873,0.200006626205566,0.2500140329478443,5045.023341123439,1282.460622097714,1774.984449444445
68013,VITT3,2023-05-31,0.2707128362982944,0.3833499430438667,0.086953786560536,592.647054590665,249.5076129535433,362.534426853468
68965,HBRE3,2023-05-31,0.4254702192136553,0.2333330106265642,0.1428580723978313,463.51982271229286,83.40278992989616,62.64260742008268
70862,LIGT3,2023-05-31,0.2322230927136814,0.4333392534231285,0.3077056810750848,5995.339669836352,4202.5854356164455,4386.985390238315
72188,APER3,2023-05-31,0.2145943739465523,0.2504180842460516,0.1329809915487447,74.83985195792721,26.5298700218413,42.06225924178929
75362,COGN3,2023-05-31,0.2323656044871902,0.4166770252340372,0.3199780112470623,9628.201233672533,7186.64406898455,6066.755663372417
79491,NGRD3,2023-05-31,0.1689697752667834,0.349991546708181,0.1904757758016899,302.0286151108906,239.6222149807625,280.27014973424525
80230,MOAR3,2023-05-31,0.2872842909952184,0.3868424759799054,0.1145111220026643,6.671373843767945,1.7625599120747415,4.640003440624133
86563,VIVR3,2023-05-31,0.2312750006089569,0.1833348923571139,0.1818257236780751,1140.893491154966,308.8813821521612,386.3550856009068
87597,GMAT3,2023-05-31,0.1800774683611457,0.4333284436760267,0.3461577412057443,5401.564052371135,4890.878396436553,5766.494751415439
88206,TGMA3,2023-05-31,0.1844970895521408,0.4499251127761361,0.0740845908436376,462.0240263475659,368.96101197600376,549.8808865094106
88643,PINE4,2023-05-31,0.344001172322995,0.1499994528432405,0.2222200557868137,664.4591838412041,78.97821349545822,111.08633746876562
