,symbol,period,pin,alpha,delta,mu,eps_b,eps_s
64766,PRNR3,2023-01-31,0.2044917534815449,0.4166667493817901,0.0400006377086614,358.7276582133626,241.66131921719213,339.80236280420866
65297,RADL3,2023-01-31,0.1764189532365493,0.5833587821630333,0.1142762937915579,6091.618996200273,6707.470255445824,9881.887588921843
81491,EVEN3,2023-01-31,0.1937453732417396,0.3000018525894189,0.2222311588147775,2707.018643956269,1523.6639706354297,1855.8641405644792
84466,MEAL3,2023-01-31,0.2220484242439238,0.3166711247782302,0.2105428437071541,2274.837647268782,1192.0845079071487,1331.7666597434095
16138,AZEV4,2023-02-28,0.1668557280089057,0.0999995611575719,0.1666680406509901,736.2256424109885,157.21346759109787,210.3972176433357
22000,AGXY3,2023-02-28,0.2061148639706347,0.4641826218853295,0.0718326705998289,123.73112521791953,134.77617963542102,86.43964878298723
28906,DEXP3,2023-02-28,0.2030141075526633,0.6849102434452097,0.0,191.7918869237728,181.70626625547243,333.98325787594166
39112,PORT3,2023-02-28,0.1843945065588482,0.4166648029572891,0.0800010011305458,381.4472457195624,309.79274022341264,393.2042454830344
46317,INEP3,2023-02-28,0.2020094543376607,0.3833299707610211,0.2173939957724103,340.4500412411384,257.6274617063848,257.9004900959071
47611,RCSL3,2023-02-28,0.2429779432705928,0.3333331846383925,0.1499979256678103,601.6622123554034,375.1845523061251,249.66141264560417
62547,OIBR3,2023-02-28,0.2194500635486525,0.2999847836869492,0.2222418023897989,9031.263506515716,3396.256921392407,6240.096550010527
64786,PRNR3,2023-02-28,0.2541728165099743,0.383308069673353,0.0434821116228752,419.3460590637443,171.740757005029,299.91988218126573
67949,VITT3,2023-02-28,0.2065021973772103,0.3496892778745335,0.0958905071971105,272.64761820392494,153.39727122200375,212.9602192604284
74621,TECN3,2023-02-28,0.2178690286745245,0.2833322244237619,0.2941189231103731,611.1884628120861,267.00961430351816,354.65350805887795
84729,MATD3,2023-02-28,0.1680538172243944,0.4000025357708898,0.0,932.791568373282,754.4162298480496,1092.6999310375843
16648,SHOW3,2023-03-31,0.1917767891471932,0.400272162376572,0.0423014338299351,220.2335112853907,149.2840012235701,222.22904205025196
28928,DEXP3,2023-03-31,0.1971149522219079,0.4328736131438913,0.0,239.79468352323528,151.7327843910639,271.06671487439746
34206,FHER3,2023-03-31,0.1736359913660314,0.3167035344772381,0.1578865427478482,156.3272742803495,98.6708107042336,136.9530721953877
46339,INEP3,2023-03-31,0.2079235015969202,0.43319744942762,0.1154196577086794,336.4855793206127,289.4355926400161,265.84934680392007
47145,VVEO3,2023-03-31,0.1886756088751149,0.466665222499573,0.2500002160427698,310.5006394659018,272.114298023115,350.9698583146154
47633,RCSL3,2023-03-31,0.2126940304061879,0.1999981169385379,0.0833300178077574,1305.5613329307234,565.9057514510926,400.6155480453471
61010,BLAU3,2023-03-31,0.1841215883471132,0.2666653938070052,0.0624967429015221,1025.365673272595,491.63044511755015,719.9887987810499
61254,AALR3,2023-03-31,0.1927672127615644,0.299998269303898,0.0,980.4293432991028,520.9047055327851,710.783195693515
67971,VITT3,2023-03-31,0.3099305198891066,0.4999986391866197,0.033335369268803,400.854622893854,163.72479591599097,282.5313334733978
70617,MODL3,2023-03-31,0.203759231205318,0.2999989890825313,0.2222279184908996,1754.3260522586804,1002.7213472860332,1053.913646746058
74643,TECN3,2023-03-31,0.2079550212145417,0.249998161704898,0.2666650293550662,606.7469723746608,252.1765192324524,325.55341045552404
14791,SGPS3,2023-04-28,0.1779822833464877,0.0666671686334048,0.0,945.035410333276,83.4642709461935,207.5166382165168
28702,BRPR3,2023-04-28,0.2994215519156384,0.2833352139082018,0.1176440397671344,1522.9564748091457,412.8762182760725,596.7526530338394
33146,LUPA3,2023-04-28,0.19457351997347,0.3666639989637847,0.0454518186008654,971.6525679674012,533.9582723681846,940.8020398543288
45130,LOGN3,2023-04-28,0.2112961309551975,0.466666293890605,0.0358847562519171,284.5259837520822,198.45867851932437,297.1635705962112
47164,VVEO3,2023-04-28,0.207845762192435,0.3833329880690614,0.0434755393188008,413.85751105934594,231.95433619314213,372.68390591665343
47652,RCSL3,2023-04-28,0.395392517847333,0.4999976666091116,0.0,1576.566245451465,481.400395213642,723.9831877952013
61273,AALR3,2023-04-28,0.1866596117504468,0.23333210962202,0.0714319402553095,1037.4454425307415,455.3907843336568,599.3888973961198
67012,ALUP11,2023-04-28,0.187000198996887,0.5500024936382255,0.0606003225385155,1650.21383104879,1737.4540021128826,2208.511207669361
67990,VITT3,2023-04-28,0.2857122028181871,0.4666659629994765,0.035713754656179,452.9769331804123,220.05314608218868,308.424539494186
74662,TECN3,2023-04-28,0.2184458467927894,0.2333340690079254,0.1428526502451072,612.7390216688914,221.68432524747203,289.8431629801562
79468,NGRD3,2023-04-28,0.1820616560458529,0.2666638323392779,0.1249984751054809,415.604879915305,210.64319561814935,287.2622011641759
16690,SHOW3,2023-05-31,0.1888030121613418,0.3007812140809058,0.1687381409585523,267.5402792116038,141.55036036900367,204.19574328808795
28725,BRPR3,2023-05-31,0.2373045564803618,0.4667506725707465,0.0,318.9474954812449,176.98058621176222,301.48336600009094
45395,TFCO4,2023-05-31,0.2491927942182785,0.1500016714592492,0.2222227094604132,955.563279971594,176.12082623141976,255.74466547804505
47675,RCSL3,2023-05-31,0.2547351794337664,0.4666695349237261,0.035714756397392,1400.6548442744927,859.3141156567492,1053.013396500864
49780,SHUL4,2023-05-31,0.2127434638050551,0.5161932485474278,0.1288979526301614,407.7426071779698,316.1943835838308,462.6639383326891
68013,VITT3,2023-05-31,0.2707128362982944,0.3833499430438667,0.086953786560536,592.647054590665,249.5076129535433,362.534426853468
