,symbol,period,pin,alpha,delta,mu,eps_b,eps_s
51456,JSLG3,2023-01-31,0.1995999962837513,0.4999940977142595,0.8666669636404607,917.2054991205983,1002.0799741264076,836.9045761434056
63501,EUCA4,2023-01-31,0.1929119303377308,0.0333332508967193,1.0,1123.810407200683,81.03327641481017,75.68966057362844
67686,FIQE3,2023-01-31,0.2531198604487444,0.3000016124796557,0.777774287099059,934.8522511004668,420.4330195805636,407.1112885857958
72104,APER3,2023-01-31,0.3151658630305228,0.2802433023101056,0.8810573300457676,81.87191095979094,26.576688396756367,23.27919302303628
74601,TECN3,2023-01-31,0.2303576835411747,0.366663649251409,0.8636298977282935,428.9407498092114,297.07184008922604,228.40236091348743
2607,BRIT3,2023-02-28,0.2899483491047088,0.4166479464155228,0.9200339030012374,471.89366122230143,257.7896864274573,223.69523444463988
11002,PDGR3,2023-02-28,0.4611749506019293,0.0833335124778797,1.0,10562.921359539912,582.9834869862444,445.472715168488
20102,MELK3,2023-02-28,0.2665259598743682,0.1833362687866461,1.0,1461.5870840589178,365.4665024769903,371.9592776877965
22243,OPCT3,2023-02-28,0.2285697865766723,0.2833323679780226,0.8823509540517949,678.6793081220228,341.47074368050534,307.5201770692091
34184,FHER3,2023-02-28,0.239721264639503,0.4980039830162305,0.9330684182148392,210.58090419489943,203.26045898358555,129.33635590744635
35756,HBOR3,2023-02-28,0.196612226922079,0.3000057717308252,0.8333362900804897,1165.291798814639,764.1452205130026,664.3506708834169
47123,VVEO3,2023-02-28,0.1912108564650989,0.433406813185193,0.8846323328103094,350.4734625377849,362.2945971259011,280.20615395672405
60988,BLAU3,2023-02-28,0.1750627199594185,0.3166675917445834,0.947372273088856,691.293172945481,572.4202533123364,459.1365454512388
63521,EUCA4,2023-02-28,0.1737338431324415,0.0333332610323734,1.0,1118.5006098580347,96.31667131764672,80.99999865812333
72124,APER3,2023-02-28,0.2069753997416474,0.1500945488902995,0.8883398706818042,102.4342321808234,33.29466008723374,25.613840134305967
83507,UGPA3,2023-02-28,0.2077170061213082,0.4333346414066827,0.9615333855177,7880.595843519757,7471.551687364088,5553.838549181994
1203,AMAR3,2023-03-31,0.25519380889813,0.3833298031009924,0.7826028569685327,2405.973143056638,1331.179368842524,1360.5816852376083
3951,SEQL3,2023-03-31,0.166668761164734,0.316661758799968,0.684206887217786,2840.694763151425,2291.7537774388284,2205.875395973241
9092,DESK3,2023-03-31,0.185650378384123,0.3832379800574607,0.82604318353389,335.134005983722,315.1693920213343,248.21148365715607
13536,JHSF3,2023-03-31,0.173771306352332,0.4499939394148283,0.7407540852368575,2260.468307375518,2603.008569567083,2233.448023826102
20124,MELK3,2023-03-31,0.3297572217114423,0.1999686744793967,0.9999999259683116,1705.2732700521897,339.5340978279097,353.56252111269794
24905,AMER3,2023-03-31,0.3356294516875701,0.3500055111928796,1.0,21225.308864845458,9316.68767191438,5388.792500127545
39134,PORT3,2023-03-31,0.1702564100339785,0.4674985319911999,0.7486910824809461,329.9579651633536,422.3138260750011,329.446327187766
54923,VIIA3,2023-03-31,0.1924358253827171,0.3666713454208283,0.727296785857525,10847.522373030104,8175.8230478762525,8515.80291190221
67728,FIQE3,2023-03-31,0.1683533143948645,0.11666560873811,0.8571495493803674,967.798262905604,299.6106578909857,258.1461500214608
69408,LAVV3,2023-03-31,0.1748950624043701,0.3333290194502992,0.8500014193142637,856.8464033877963,751.490326790039,595.944412807431
72146,APER3,2023-03-31,0.2105803106681421,0.1995621589326922,0.916482944376272,85.17319094709157,35.91366492209719,27.80568021740481
1222,AMAR3,2023-04-28,0.2379969665720815,0.3333440072747279,0.7999964475283254,2467.361277601675,1297.325460203852,1336.0372118577116
9111,DESK3,2023-04-28,0.2038263522447096,0.3333321515550011,0.8500007437957489,354.5667909935287,261.58785655358514,200.0726556304849
13299,CTNM4,2023-04-28,0.3900589416248536,0.0666673513420564,1.0,762.2676356148881,59.23329830049195,20.23214547282399
20143,MELK3,2023-04-28,0.3921087889537083,0.2666619463408377,1.0,1663.7844281321445,321.9833377974124,365.8407602861073
24924,AMER3,2023-04-28,0.1958103016137047,0.1000132573868587,0.999999979248049,22625.913313176883,4605.065695418326,4688.591739554306
34225,FHER3,2023-04-28,0.2468110492972237,0.4166662153455582,1.0,167.41706065189464,124.73338350500352,88.14293088099103
